Designator,Footprint,Quantity,Value,LCSC Part #
"_9, _8, _7, _6, _5, _4, _3, _2, ",,9,,
"C1, C2",C0805,2,22uf,C45783
"C10, C11, C4, C7",C_0603,4,22uF,C59461
"C12, C17, C18, C19, C20, C21",C_0603,6,100nF,C14663
"C13, C14, C22",C_0603,3,10uF,C19702
C15,C_0603,1,4.7uF,C19666
C16,C_0603,1,47nF,C1622
C9,C_0603,1,1uF,C15849
"D4, D5, D6",D_SMA,3,SS34,C8678
D8,D_0805,1,Red,C84256
D9,D_0805,1,Green,C2297
DSUB1,DSUB-TH_DS1037-15FNAKT74-0CC,1,DS1037-15FNAKT74-0CC,C77835
J1,HDR-TH_6P-P2.54-H-M-W10.0,1,2.54-1*6PHeader-RA,C56816
"L1, L2, L3",IND-SMD_L7.5-W7.5,3,22uH,C19268629
L4,L0805,1,SDFL2012Q1R0KTF,C1042
"Q1, Q4, Q6",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,3,2N7002,C8545
"Q2, Q5, Q7",SOP-8_L5.0-W4.0-P1.27-LS6.2-BL,3,CJQ4435,C114076
Q3,SOT-363-6_L2.2-W1.3-P0.65-LS2.1-BL,1,currentmirror,C41375126
R1,R1206,1,11.3kohm,C44912
R10,R_0603,1,22kΩ,C31850
"R12, R13, R21, R30, R31",R_0603,5,5.1kΩ,C23186
"R14, R15, R16, R29",R_0603,4,10kΩ,C25804
"R17, R24",R_0603,2,2.2kΩ,C4190
R18,R_0603,1,6.8kΩ,C31850
R19,R_0603,1,2kΩ,C4211
R2,R0402,1,215kohm,C11489
R20,R_0603,1,2.2kΩ,C31850
R22,R_0603,1,240Ω,C23350
R23,R_0603,1,240kΩ,C4197
R25,R_0603,1,150Ω,C22808
R27,R0603,1,5.23kohm,C23068
R28,R0603,1,30.1kohm,C137745
R3,R_0603,1,3kΩ,C4211
R4,R_0603,1,20kΩ,C4184
"RPROG4, RPROG5, RPROG6",R_0603,3,1kΩ,C21190
U1,TDFN-8_L2.0-W2.0-P0.50-BL-EP1.2,1,MAX17048G+T10,C2682616
U10,VQFN-24_L4.0-W4.0-P0.50-TL-EP2.8,1,BQ25606RGER,C374063
U11,CONN-TH_S2B-PH-K-S-GW,1,Battery Input,C157932
"U2, U3, U6",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,3,MT3608,
U7,HDR-TH_40P-P2.54-V-F-R2-C20-S2.54,1,2.54-2*20,C2977589
U8,SSOP-16_L6.2-W5.3-P0.65-LS7.8-BL,1,MAX3232CDBR,C7257
U9,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,1,ADS1115IDGSR,C37593
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
