Designator,Mid X,Mid Y,Rotation,Layer
_9,126.8,-90.68,0.0,top
_8,103.8,-90.68,0.0,top
_7,126.8,-90.68,0.0,top
_6,103.8,-90.68,0.0,top
_5,126.8,-90.68,0.0,top
_4,126.8,-148.7,0.0,top
_3,103.8,-148.7,0.0,top
_2,126.8,-90.68,0.0,top
,126.8,-148.7,0.0,top
C1,114.0,-111.0,0.0,top
C10,113.11,-126.04,180.0,top
C11,123.0,-113.5,0.0,top
C12,110.83,-142.0,180.0,bottom
C13,130.0,-143.0,90.0,top
C14,121.5,-145.0,270.0,top
C15,130.5,-140.5,0.0,top
C16,132.0,-142.78,270.0,top
C17,109.56,-91.78,270.0,bottom
C18,118.56,-92.28,270.0,bottom
C19,113.28,-94.0,0.0,bottom
C2,110.0,-117.0,0.0,top
C20,116.28,-94.0,0.0,bottom
C21,119.34,-84.5,180.0,bottom
C22,125.22,-146.0,180.0,top
C4,116.385,-100.323,270.0,top
C7,110.885,-106.823,270.0,top
C9,130.5,-139.0,0.0,top
D4,119.3,-114.0,270.0,top
D5,119.885,-103.323,270.0,top
D6,121.61,-123.54,270.0,top
D8,136.99,-124.12,0.0,bottom
D9,136.99,-127.19,0.0,bottom
DSUB1,120.41,-80.17,0.0,top
J1,135.7,-109.86,270.0,top
L1,113.685,-103.823,180.0,bottom
L2,113.5,-114.0,180.0,bottom
L3,115.61,-123.54,180.0,bottom
L4,128.97,-146.0,180.0,top
Q1,125.5,-99.0,0.0,top
Q2,130.0,-104.5,180.0,top
Q3,132.5,-109.5,270.0,top
Q4,122.5,-116.5,90.0,bottom
Q5,127.0,-110.5,0.0,bottom
Q6,131.5,-90.5,180.0,bottom
Q7,127.5,-86.0,180.0,bottom
R1,109.0,-111.5,0.0,top
R10,113.885,-101.323,180.0,top
R12,108.11,-139.0,90.0,bottom
R13,115.5,-136.0,180.0,bottom
R14,124.5,-104.0,270.0,top
R15,133.0,-86.32,90.0,bottom
R16,122.0,-110.0,270.0,bottom
R17,125.0,-134.5,180.0,top
R18,117.11,-121.04,270.0,top
R19,113.11,-121.04,180.0,top
R2,113.0,-113.0,180.0,top
R20,115.61,-121.18,90.0,top
R21,109.61,-139.82,90.0,bottom
R22,120.0,-142.5,0.0,top
R23,132.5,-112.0,0.0,top
R24,123.0,-138.0,270.0,top
R25,120.0,-140.5,0.0,top
R27,125.0,-137.5,180.0,top
R28,120.5,-138.0,180.0,top
R29,120.5,-136.0,180.0,top
R3,110.885,-100.823,90.0,top
R30,130.5,-134.5,180.0,top
R31,130.5,-137.5,180.0,top
R4,130.5,-114.0,180.0,bottom
RPROG4,127.0,-114.0,0.0,bottom
RPROG5,134.0,-100.5,0.0,top
RPROG6,119.5,-88.18,90.0,bottom
U1,114.5,-143.5,0.0,top
U10,125.0,-142.0,270.0,top
U11,136.27,-147.5675,180.0,top
U2,113.385,-104.323,0.0,top
U3,114.0,-116.0,0.0,top
U6,116.16,-124.86,0.0,top
U7,103.83,-119.68,90.0,top
U8,114.5,-88.0,270.0,bottom
U9,113.61,-139.5,180.0,bottom
USBC1,136.3525,-136.33,90.0,top
