Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C7,C0402,C1525,1
10k,"R8,RPROG3",R0805,C17414,2
12V_Sensor,H1,HDR-TH_2P-P2.54-V-M-1,C124375,1
1k,RPROG1,R1206,C4410,1
22k,R3,R0805,C17560,1
22uF,"C3,C4,C5,C8",C1206,C1859,4
22uF,"L1,L2",IND-SMD_L7.5-W7.5,C19268629,2
3k,R4,R0603,C177274,1
4.7k,R10,R0805,C17673,1
4.7uF,"C2,C6",C0805,C1779,2
470,"R11,R6,R7",R0805,C17710,3
5.1k,"R1,R2",R0603,C23186,2
91k,R9,R0805,C17866,1
Battery Input,U5,CONN-TH_S2B-PH-K-S-GW,C157932,1
Blue,LED1,LED0805-R-RD,C2293,1
Green,LED3,LED0805-R-RD,C2292,1
MCP73871,U4,QFN-20_L4.0-W4.0-P0.5-BL-EP,C511310,1
RaspberryPI,H2,HDR-TH_2P-P2.54-V-M-1,C124375,1
Red,LED2,LED1206-R-RD_RED,C49018,1
Schottky,"D4,D6",SMA_L4.3-W2.6-LS5.2-RD,C8678,2
USB_C_Receptacle_PowerOnly_6P,J1,TYPE-C-SMD_TYPE-C-6P,C283540,1
MT3608,U2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,,1
MT3608,U3,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,,1
USB_A,J2,USB-A-TH_AF-WJDG,,1
