Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C0805,2,22uf,C45783
"C10, C11, C35, C36, C4, C40, C41, C46, C47, C7",C_0603,10,22uF,C59461
"C12, C17, C18, C19, C20, C21, C3, C32, C33, C34, C38, C44, C45, C5, C54, C57, C6, C61, C_SENSE1, C_SENSE2, C_SENSE3",C_0603,21,100nF,C14663
C13,C1206,1,22uf,C1859
"C14, C22, C29, C37, C43, C50, C8",C_0603,7,10uF,C19702
"C15, C23, C51, C52",C_0603,4,4.7uF,C19666
"C16, C56",C_0603,2,47nF,C1622
"C24, C25",C_0603,2,330pF,C1664
"C26, C28",C_0402,2,1uF,C52923
"C27, C58, C72",C_1206,3,10uF,C13585
C30,C_1206,1,1uF,C1848
"C31, C42, C53, C55, C70, C71, C9, CC0, CC1",C_0603,9,1uF,C15849
C39,C_0603,1,47pF,C1671
C48,C0603,1,75pf,C1681
C49,C_0603,1,100pF,C14858
C59,C_0805,1,22uF,C45783
CIN1,C_0805,1,2.2uF,C377773
D1,D_SOD-123,1,1N4148W,
D10,D_0805,1,Yellow,C2296
"D100, D12",SOD-123_L2.8-W1.8-LS3.7-RD,2,MBR0530,C77336
"D11, D2",D_DFN1006-2L,2,H5VU10U,C22395519
"D13, D3, D9",D_0805,3,Green,C2297
D14,D_SMA,1,SS14,C2480
D19,D_SOD-123,1,B0530W,C7502708
"D4, D5, D6",D_SMA,3,SS34,C8678
"D7, D8",D_0805,2,Red,C84256
"H11, H2",HDR-TH_5P-P2.54-V-M,2,77311-462K05LF,C180219
"H3, H4, H9",HDR-TH_6P-P2.54-V-M-1,3,Header-Male-2.54_1x6,C37208
"H5, H6, H7, H8",HDR-TH_2P-P2.54-V-M-1,4,68000-102HLF,C168673
J1,HDR-TH_6P-P2.54-H-M-W10.0,1,2.54-1*6PHeader-RA,C56816
J10,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,C5360898
J11,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,C5116483
J2,TYPE-C-SMD_TYPE-C-6P,1,USB_C_Receptacle_PowerOnly_6P,C283540
"L1, L2, L3",IND-SMD_L7.5-W7.5,3,22uH,C19268629
L5,IND-SMD_L7.5-W6.6,1,10uh,C3002650
L6,IND-SMD_L12.3-W12.3_SMDRI127,1,6.8uh,C10149
L7,IND-SMD_L10.4-W10.3,1,15uh,C16113
L8,IND-SMD_L6.7-W6.6,1,2.2uH,C1329579
"P1, P2",HDR-TH_4P-P2.54-V-M-R2-C2-S2.54-1,2,Header-Male-2.54_2x2,C66690
"P10, P11, P3, P4, P5, P6, P7, P8, P9",HDR-TH_3P-P1.27-V-M-1,9,1.27mm/1*3p,C24980
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,2N7002,C8545
"Q10, Q9",Q_SOT-23,2,AO3400A,C20917
"Q11, Q6, Q7",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,3,AO3401A,C15127
"Q2, Q8",SOP-8_L5.0-W4.0-P1.27-LS6.2-BL,2,CJQ4435,C114076
Q3,SOT-363-6_L2.2-W1.3-P0.65-LS2.1-BL,1,currentmirror,C41375126
Q4,SOT-23,1,BSS84,C82079
Q5,SOIC-8_3.9x4.9mm_P1.27mm,1,AO4892,C357830
R1,R1206,1,11.3kohm,C44912
"R10, R52",R_0603,2,22kΩ,C31850
"R11, R15, R26, R60",R_0603,4,1MΩ,C22935
"R12, R13, R21, R30, R31, R35",R_0603,6,5.1kΩ,C23186
"R14, R16, R29, R39, R8, R9, RPROG3",R_0603,7,10kΩ,C25804
"R17, R24, R53",R_0603,3,2.2kΩ,C4190
R18,R_0603,1,6.8kΩ,C31850
R19,R_0603,1,2kΩ,C4211
R2,R0402,1,215kohm,C11489
R20,R_0603,1,2.2kΩ,C31850
R22,R_0603,1,240Ω,C23350
R25,R_0603,1,150Ω,C22808
R27,R0603,1,5.23kohm,C23068
R28,R0603,1,30.1kohm,C137745
"R3, R46",R_0603,2,3kΩ,C4211
"R32, RC0, RC1, RC2, RC3, R_SENSE1, R_SENSE2",R_0603,7,100Ω,C22775
R33,R_0603,1,10Ω,C22859
R34,R_0603,1,330kΩ,C23137
R36,R_0603,1,12kΩ,C22790
"R37, R44, R49, R77",R_0603,4,49.9kΩ,C23184
"R38, R45, R50, R6, R61, R76",R_0603,6,100kΩ,C25803
R4,R_0402,1,10Ω,C25077
"R40, R42, R47",R0805,3,511k,C17735
"R41, R43, R48",R0603,3,105k,C16840
R5,R0805,1,5.23k,C17739
R51,R0805,1,13.3k,C17446
R54,RES-ADJ-TH_3P-L7.3-W6.4-P5.00-R,1,RM065-204(200K),C5205025
R55,RES-ADJ-TH_3296W,1,3296W-1-504LF,C83694
"R56, R57, R58",R_0603,3,470Ω,C23179
R59,R_0603,1,110kΩ,C25805
R62,R0603,1,30.1k,C23000
"R63, R75",R0603,2,4.02k,C13211
R64,R_0402,1,1.5kΩ,C25867
"R65, RPROG1, RPROG2, RPROG5",R_0603,4,1kΩ,C21190
R66,R_0402,1,33kΩ,C25779
R7,R0603,1,32.4k,C13187
