Designator,Mid X,Mid Y,Rotation,Layer
C1,40.638761,-27.480931,270.0,top
C10,69.343761,-32.280931,90.0,top
C11,69.263761,-29.110931,90.0,top
C12,87.418,-94.91,0.0,top
C13,56.013,-69.3,0.0,top
C14,58.763,-77.05,180.0,top
C15,55.763,-71.55,0.0,top
C16,58.013,-73.05,0.0,top
C17,66.73,-90.405,90.0,top
C18,70.48,-90.405,90.0,top
C19,68.49,-90.315,270.0,top
C2,40.638761,-31.810931,270.0,top
C20,73.87,-92.705,0.0,top
C21,65.188521,-90.4025,90.0,top
C22,58.763,-75.55,180.0,top
C23,69.159,-57.535,180.0,top
C24,103.56,-102.85,0.0,top
C25,100.56,-102.85,180.0,top
C26,99.06,-104.1,0.0,top
C27,106.31,-102.35,270.0,top
C28,98.06,-94.6,0.0,top
C29,46.668521,-94.83,180.0,top
C3,80.343761,-33.600931,270.0,top
C30,68.229,-54.035,0.0,top
C31,69.159,-60.785,0.0,top
C32,46.668521,-93.33,180.0,top
C33,56.668521,-97.83,0.0,top
C34,39.488521,-100.15,0.0,top
C35,33.488521,-99.9,0.0,top
C36,29.738521,-99.15,90.0,top
C37,39.738521,-93.9,0.0,top
C38,39.738521,-95.4,180.0,top
C39,49.918521,-94.83,0.0,top
C4,55.486995,-28.570931,90.0,top
C40,45.918521,-97.08,90.0,top
C41,49.918521,-97.83,0.0,top
C42,81.41,-81.7,90.0,top
C43,89.658761,-27.890931,180.0,top
C44,89.658761,-29.390931,180.0,top
C45,98.158761,-33.140931,270.0,top
C46,92.908761,-32.390931,0.0,top
C47,88.908761,-31.640931,90.0,top
C48,92.658761,-28.890931,180.0,top
C49,33.488521,-96.65,0.0,top
C5,83.91,-74.2,180.0,top
C50,103.859,-60.571,90.0,top
C51,99.359,-54.821,180.0,top
C52,99.359,-60.571,90.0,top
C53,83.91,-72.45,180.0,top
C54,94.41,-76.7,0.0,top
C55,94.16,-68.95,0.0,top
C56,88.91,-68.7,0.0,top
C57,93.91,-78.2,180.0,top
C58,90.66,-81.7,270.0,top
C59,93.91,-80.7,0.0,top
C6,90.91,-69.95,180.0,top
C61,83.91,-75.95,0.0,top
C7,55.426995,-32.260931,90.0,top
C70,82.909,-61.255,0.0,top
C71,82.089,-59.005,90.0,top
C72,84.41,-69.7,180.0,top
C8,69.159,-59.285,0.0,top
C9,52.263,-70.3,270.0,top
CC0,81.409,-55.255,0.0,top
CC1,83.659,-56.005,90.0,top
CIN1,93.91,-82.7,180.0,top
C_SENSE1,80.659,-50.005,270.0,top
C_SENSE2,82.159,-51.505,270.0,top
C_SENSE3,80.659,-53.005,270.0,top
D1,66.479,-46.785,180.0,top
D10,101.109,-48.071,180.0,top
D100,79.16,-73.2,270.0,top
D11,102.81,-104.1,0.0,top
D12,76.91,-69.7,90.0,top
D13,83.41,-80.45,270.0,top
D14,49.76,-66.767,0.0,top
D19,87.91,-66.45,0.0,top
D2,101.06,-104.1,180.0,top
D3,101.109,-50.321,180.0,top
D4,33.638761,-29.560931,270.0,top
D5,48.186995,-29.580931,270.0,top
D6,62.043761,-29.640931,270.0,top
D7,101.109,-52.571,180.0,top
D8,52.763,-83.05,270.0,top
D9,56.013,-83.8,180.0,top
H11,68.091479,-110.2775,180.0,top
H2,40.29455,-75.448029,90.0,top
H3,49.013,-77.05,90.0,top
H4,78.668,-95.41,270.0,top
H5,102.06,-91.6,180.0,top
H6,102.06,-88.85,180.0,top
H7,106.06,-90.1,270.0,top
H8,98.06,-90.1,270.0,top
H9,89.979,-55.305,270.0,top
J1,85.168,-109.76,180.0,top
J10,61.621,-47.663,180.0,top
J11,61.621,-56.468,180.0,top
J2,102.06,-107.6,0.0,top
L1,51.756995,-38.470931,180.0,top
L2,36.838761,-38.370931,180.0,top
L3,65.613761,-38.370931,180.0,top
L5,93.158761,-37.140931,180.0,top
L6,51.918521,-104.83,180.0,top
L7,35.238521,-106.15,180.0,top
L8,103.41,-71.95,270.0,top
P1,69.321479,-104.5075,180.0,top
P10,98.109,-50.821,90.0,top
P11,77.91,-82.22,270.0,top
P2,67.96,-77.685,90.0,top
P3,81.343761,-28.350931,270.0,top
P4,47.418521,-91.33,180.0,top
P5,34.086261,-23.733431,180.0,top
P6,48.616995,-23.750931,180.0,top
P7,62.463761,-23.830931,180.0,top
P8,31.988521,-93.15,180.0,top
P9,90.408761,-25.640931,180.0,top
Q1,82.668,-91.41,0.0,top
Q10,80.16,-77.7,180.0,top
Q11,97.3525,-73.7,270.0,top
Q2,88.668,-90.91,180.0,top
Q3,89.418,-103.781,180.0,top
Q4,66.979,-50.535,270.0,top
Q5,74.479,-49.785,90.0,top
Q6,100.31,-96.1,90.0,top
Q7,98.56,-99.85,180.0,top
Q8,77.343761,-26.600931,270.0,top
Q9,76.16,-77.7,180.0,top
R1,38.978761,-23.640931,180.0,top
R10,53.206995,-25.730931,180.0,top
R11,79.979,-47.785,0.0,top
R12,83.918,-96.41,180.0,top
R13,86.918,-103.531,270.0,top
R14,82.918,-88.91,0.0,top
