pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
78.5,-132.0,0.0,top,,,,,,tht
77.093638,-70.4025,0.0,top,,,,,,tht
98.0,-132.0,0.0,top,,,,,,tht
88.0,-132.0,0.0,top,,,,,,tht
100.093638,-128.4225,0.0,top,,,,,,tht
77.093638,-128.4225,0.0,top,,,,,,tht
100.093638,-128.4225,0.0,top,,,,,,tht
100.093638,-70.4025,0.0,top,,,,,,tht
108.552207,-131.971755,0.0,top,,,,,,tht
100.093638,-70.4025,0.0,top,,,,,,tht
118.5,-132.0,0.0,top,,,,,,tht
100.093638,-70.4025,0.0,top,,,,,,tht
100.093638,-70.4025,0.0,top,,,,,,tht
77.093638,-70.4025,0.0,top,,,,,,tht
119.0,-68.5,0.0,top,12V,,,PinHeader_1x01_P2.54mm_Vertical,12VOUT,tht
119.0,-73.09,0.0,top,3V3,,,PinHeader_1x01_P2.54mm_Vertical,3V3,tht
96.05,-162.5,90.0,top,C10,GRM21BR61E106KA73L,,C0805,10uf,smt
99.35,-171.9,90.0,top,C11,GRM21BR61E106KA73L,,C0805,10uf,smt
108.15,-173.3,0.0,top,C12,GRM21BR61E106KA73L,,C0805,10uf,smt
104.525,-88.675,180.0,bottom,C13,,,C_0603,100nF,smt
105.965,-158.045,-90.0,bottom,C14,,,C_0603,100nF,smt
105.465,-160.545,180.0,bottom,C15,,,C_0603,100nF,smt
105.465,-168.545,0.0,bottom,C16,,,C_0603,100nF,smt
104.965,-170.045,0.0,bottom,C18,,,C_0603,100nF,smt
111.298,-102.15,90.0,top,C19,CL21B104KBCNNNC,,C0805,100nf,smt
101.45,-169.5,-90.0,top,C2,CL21B104KBCNNNC,,C0805,100nf,smt
87.25,-89.75,180.0,top,C21,RVT1V331M1010,,CAP-SMD_BD10.0-L10.3-W10.3-FD,330uf,smt
84.5,-77.425014,180.0,bottom,C22,,,C_0603,100nF,smt
99.298,-115.9,180.0,top,C23,RVT1E471M1010,,CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,470uf,smt
86.798,-118.4,0.0,top,C24,RVT1E471M1010,,CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,470uf,smt
99.7875,-88.9625,-90.0,top,C25,RVT1E471M1010,,CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,470uf,smt
88.43,-162.73,90.0,bottom,C27,,,C_0805,100nF,smt
82.5,-74.925014,180.0,bottom,C29,,,C_0603,100nF,smt
108.298,-109.9,0.0,top,C3,CL21B104KBCNNNC,,C0805,100nf,smt
92.5,-77.175014,0.0,bottom,C33,,,C_0603,100nF,smt
82.5,-71.925014,180.0,bottom,C35,,,C_0603,100nF,smt
82.5,-73.425014,180.0,bottom,C36,,,C_0603,100nF,smt
89.15,-158.73,180.0,bottom,C38,,,C_0603,1uF,smt
91.93,-161.73,-90.0,bottom,C39,,,C_0603,1uF,smt
100.45,-162.5,-90.0,top,C4,,,C0805,22uf,smt
89.43,-160.23,180.0,bottom,C40,,,C_0603,4.7uF,smt
