Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,KiLib_Generator,LCSC Part,Manufacturer,LCSC,Stock,Price,Process,Minimum Qty,Attrition Qty,Class,Category,Part,Voltage Rated,Tolerance,Capacitance,Temperature Coefficient,Emitted Color,Sim.Device,Sim.Pins,Power Dissipation,Zener Impedance (Zzt),Diode Configuration,Zener Voltage (Range),Zener Voltage (Nom),Reverse Leakage Current (Ir),Operating Temperature,Viewing Angle,Forward Current,Forward Voltage (VF),Luminous Intensity,Dominant Wavelength,Lens Color,Resistance,Power(Watts),Type,Overload Voltage (Max),Operating Temperature Range
", , , , , , , , , , , , , ",14,,,,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12V,1,12VOUT,PinHeader_1x01_P2.54mm_Vertical,,,Yes,tht,test point,connector/pin_header_socket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3V3,1,3V3,PinHeader_1x01_P2.54mm_Vertical,,,Yes,tht,test point,connector/pin_header_socket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C10, C11, C12, C8",4,10uf,C0805,,GRM21BR61E106KA73L,,smt,,,C84416,muRata(村田),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C13, C14, C15, C16, C18, C22, C29, C33, C35, C36, C65, C_sense7, C_sense8, C_sense9",14,100nF,C_0603,,,,smt,50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,,,YAGEO,C14663,70324515,0.006USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",CC0603KRX7R9BB104,50V,±10%,100nF,X7R,,,,,,,,,,,,,,,,,,,,,
"C19, C2, C3, C6, C7",5,100nf,C0805,,CL21B104KBCNNNC,,smt,100nF (104) ±10% 50V,,C1711,SAMSUNG(三星),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C21,1,330uf,CAP-SMD_BD10.0-L10.3-W10.3-FD,,RVT1V331M1010,,smt,330uF 35V,,C19606,HONOR(荣誉),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C23, C24, C25",3,470uf,CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,,RVT1E471M1010,,smt,470uF 25V,,C3351,HONOR(荣誉),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C27,1,100nF,C_0805,,,,smt,100V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,,,Samsung Electro-Mechanics,C28233,1168020,0.009USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",CL21B104KCFNNNE,100V,±10%,100nF,X7R,,,,,,,,,,,,,,,,,,,,,
"C38, C39",2,1uF,C_0603,,,,smt,50V 1uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,,,Samsung Electro-Mechanics,C15849,11535980,0.008USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",CL10A105KB8NNNC,50V,±10%,1uF,X5R,,,,,,,,,,,,,,,,,,,,,
