Designator,Footprint,Quantity,Value,LCSC Part #
"_15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,15,,
"C10, C11, C12, C8",C0805,4,10uf,C84416
"C13, C14, C15, C16, C18, C22, C29, C33, C35, C36, C65, C_SENSE7, C_SENSE8, C_SENSE9",C_0603,14,100nF,C14663
"C19, C2, C3, C6, C7",C0805,5,100nf,C1711
C21,CAP-SMD_BD10.0-L10.3-W10.3-FD,1,330uf,C19606
"C23, C24, C25",CAP-SMD_BD10.0-L10.3-W10.3-LS11.0-FD,3,470uf,C3351
C27,C_0805,1,100nF,C28233
"C38, C39",C_0603,2,1uF,C15849
"C4, C5",C0805,2,22uf,C45783
C40,C_0603,1,4.7uF,C19666
CN1,IDC-TH_14P-P2.54_ZHOURI_DC3-2.54-14PAL,1,DC3-2.54-14PAL,C5156673
"D1, D2, D5",SMA_L4.4-W2.8-LS5.4-R-RD,3,SS54_C22452,C22452
"D10, D12, D9",D_0805,3,Green,C2297
D11,D_SOD-123,1,1N4148W,
"D13, D3, D6, D7",D_SOT-23,4,BZX84C5V6,C19077469
D14,D_SOT-23,1,BZX84C3V3,C19077467
D8,D_0805,1,Red,C84256
DSUB2,DSUB-TH_DS1038-15FBNSIA74-0CC,1,DS1038-15FBNSIA74-0CC,C75754
L1,IND-SMD_L7.1-W6.5-P5.60,1,SPM6530T-2R2M,C76855
"L3, L5",IND-SMD_L12.3-W12.3,2,SMDRI127-330MT,C9400
"Q1, Q2, Q3",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,3,DMN2004K-7,C75285
Q11,SOT-23,1,BSS84,C82079
"Q14, Q21, Q24, Q25, Q26",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,5,2N7002,C8545
"Q17, Q18, Q22, Q27, Q28",SOP-8_L5.0-W4.0-P1.27-LS6.2-BL,5,CJQ4435,C114076
Q23,SOT-363-6_L2.2-W1.3-P0.65-LS2.1-BL,1,currentmirror,C41375126
Q5,SOIC-8_3.9x4.9mm_P1.27mm,1,AO4892,C357830
R1,R0805,1,0805W8F2553T5E,C17578
"R10, R21, R22, R53, R9",R_0805,5,1kΩ,C17513
"R11, R16, R24, R25, R26",R_0805,5,10kΩ,C17414
R12,R_0805,1,62kΩ,C17783
"R13, R20, R8",R_0805,3,33Ω,C17634
R14,R_0805,1,1MΩ,C17514
"R15, R52, R54",R_0603,3,1MΩ,C22935
"R18, R19",R_0805,2,51kΩ,C17737
"R2, R3",R_0805,2,4.7kΩ,C17673
"R31, R32, R33, R40, R44, R45",R_0603,6,5.1kΩ,C23186
"R37, R38, R39, R41, R43, R47, R50",R_0603,7,10kΩ,C25804
R4,R1206,1,0.5ohm,C25340
"R46, R48, R49, R51",R_0603,4,100kΩ,C25803
R5,R0805,1,100k,C25611
R6,RES-ADJ-TH_3P-L7.1-W6.9-P2.50-L_3362P,1,3362P-1-204,C118941
"RPROG10, RPROG11, RPROG12, RPROG13, RPROG14, RPROG15, RPROG8, RPROG9",R_0603,8,1kΩ,C21190
RSENSE3,R0612,1,LTR18EZPFSR015,C510175
"R_SENSE5, R_SENSE6, R_SENSE7",R_0603,3,100Ω,C22775
SW3,SW-SMD_L3.9-W3.0-P4.45,1,TS-1088R-02026,C455280
TP10,PinHeader_1x01_P2.54mm_Vertical,1,VSYS,
TP15,PinHeader_1x01_P2.54mm_Vertical,1,SDA,
TP16,PinHeader_1x01_P2.54mm_Vertical,1,SCL,
TP17,PinHeader_1x01_P2.54mm_Vertical,1,12VOUT,
TP18,PinHeader_1x01_P2.54mm_Vertical,1,3V3,
TP19,PinHeader_1x01_P2.54mm_Vertical,1,TX,
"TP2, TP3, TP4, TP5, TP9",PinHeader_1x01_P2.54mm_Vertical,5,TestPoint,
TP20,PinHeader_1x01_P2.54mm_Vertical,1,RX,
TP21,PinHeader_1x01_P2.54mm_Vertical,1,5V,
TP6,PinHeader_1x01_P2.54mm_Vertical,1,BAT-,
TP7,PinHeader_1x01_P2.54mm_Vertical,1,Bat+,
TP8,PinHeader_1x01_P2.54mm_Vertical,1,VBUS,
U1,VQFN-24_L4.0-W4.0-P0.50-BL-EP2.5,1,IP2326,C2832094
U10,SSOP-16_L6.2-W5.3-P0.65-LS7.8-BL,1,MAX3232CDBR,C7257
U12,MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,1,ADS1115IDGSR,C37593
U19,TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,TPL5110DDCT,C125830
U2,TDFN-8_L2.0-W2.0-P0.50-BL-EP1.2,1,MAX17048G+T10,C2682616
U3,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1,BQ7692003PWR,C601650
U4,TO-263-5_L10.2-W8.6-P1.70-LS14.4-TL,1,LM2596SX-3.3,C5186052
U6,TO-263-5_L10.2-W8.9-P1.70-TL,1,LM2596SX-5.0/NOPB,C10002
U7,HDR-TH_40P-P2.54-V-F-R2-C20-S2.54,1,2.54-2*20,C2977589
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
