Designator,Mid X,Mid Y,Rotation,Layer
_15,88.0,-132.0,0.0,top
_14,98.0,-132.0,0.0,top
_13,118.5,-132.0,0.0,top
_12,78.5,-132.0,0.0,top
_11,77.093638,-70.4025,0.0,top
_10,-53.5,-51.0,180.0,top
_9,100.093638,-128.4225,0.0,top
_8,77.093638,-128.4225,0.0,top
_7,100.093638,-128.4225,0.0,top
_6,100.093638,-70.4025,0.0,top
_5,108.552207,-131.971755,0.0,top
_4,100.093638,-70.4025,0.0,top
_3,100.093638,-70.4025,0.0,top
_2,100.093638,-70.4025,0.0,top
,77.093638,-70.4025,0.0,top
C10,96.05,-162.5,90.0,top
C11,99.35,-171.9,90.0,top
C12,108.15,-173.3,0.0,top
C13,104.525,-88.675,0.0,bottom
C14,105.965,-158.045,270.0,bottom
C15,105.465,-160.545,0.0,bottom
C16,105.465,-168.545,180.0,bottom
C18,104.965,-170.045,180.0,bottom
C19,111.298,-102.15,90.0,top
C2,101.45,-169.5,270.0,top
C21,87.25,-89.75,180.0,top
C22,84.5,-77.425014,0.0,bottom
C23,99.298,-115.9,180.0,top
C24,86.798,-118.4,0.0,top
C25,99.7875,-88.9625,270.0,top
C27,88.43,-162.73,90.0,bottom
C29,82.5,-74.925014,0.0,bottom
C3,108.298,-109.9,0.0,top
C33,92.5,-77.175014,180.0,bottom
C35,82.5,-71.925014,0.0,bottom
C36,82.5,-73.425014,0.0,bottom
C38,89.15,-158.73,0.0,bottom
C39,91.93,-161.73,270.0,bottom
C4,100.45,-162.5,270.0,top
C40,89.43,-160.23,0.0,bottom
C5,98.25,-162.5,270.0,top
C6,106.2875,-86.4625,90.0,top
C65,117.4375,-139.4775,90.0,bottom
C7,94.2875,-95.75,180.0,top
C8,93.9,-162.5,90.0,top
CN1,110.15,-90.4625,90.0,top
C_SENSE7,95.42,-167.45,270.0,bottom
C_SENSE8,93.92,-167.45,90.0,bottom
C_SENSE9,90.92,-165.95,90.0,bottom
D1,96.9,-153.17,270.0,bottom
D10,86.31,-96.25,0.0,top
D11,91.56,-171.45,270.0,bottom
D12,111.298,-109.4,90.0,top
D13,89.43,-155.23,180.0,bottom
D14,104.965,-172.545,0.0,bottom
D2,99.325,-97.425,180.0,top
D3,111.465,-160.045,90.0,bottom
D5,106.298,-115.9,270.0,top
D6,111.965,-166.545,90.0,bottom
D7,108.965,-170.985,180.0,bottom
D8,89.95,-168.2,90.0,top
D9,92.15,-169.6,270.0,top
DSUB2,96.65,-59.79,180.0,top
L1,106.65,-167.1,0.0,top
L3,87.75,-77.0,90.0,top
L5,87.298,-105.15,90.0,top
Q1,110.465,-157.045,90.0,bottom
Q11,94.56,-171.6,90.0,bottom
Q14,95.025,-82.425,90.0,bottom
Q17,102.275,-83.175,0.0,bottom
Q18,102.4,-153.67,0.0,bottom
Q2,110.965,-163.645,90.0,bottom
Q21,109.9375,-141.4275,180.0,bottom
Q22,117.4375,-143.4775,0.0,bottom
Q23,100.775,-87.175,270.0,bottom
Q24,114.4375,-138.9775,270.0,bottom
Q25,98.9375,-140.4775,180.0,bottom
Q26,110.4375,-137.4775,90.0,bottom
Q27,103.4375,-137.4775,270.0,bottom
Q28,104.4375,-145.4775,90.0,bottom
Q3,108.465,-167.545,0.0,bottom
Q5,84.5,-172.0,270.0,bottom
R1,104.275,-86.925,180.0,bottom
R10,107.965,-159.545,270.0,bottom
R11,107.465,-162.545,0.0,bottom
R12,95.55,-172.9,90.0,top
R13,105.375,-166.545,180.0,bottom
R14,99.15,-166.95,0.0,bottom
R15,89.56,-168.1,90.0,bottom
R16,107.465,-164.545,0.0,bottom
R18,87.95,-168.31,90.0,top
R19,97.45,-172.91,90.0,top
R2,89.81,-96.25,180.0,top
R20,114.25,-162.66,270.0,bottom
R21,104.465,-163.545,90.0,bottom
R22,102.06,-166.45,90.0,bottom
R24,114.0,-172.5,90.0,bottom
R25,84.43,-162.73,90.0,bottom
R26,86.43,-162.73,270.0,bottom
R3,111.298,-105.9,270.0,top
R31,82.35,-164.5,270.0,top
R32,79.35,-164.5,270.0,top
R33,108.13,-171.6,180.0,top
R37,120.4375,-139.4775,90.0,bottom
R38,97.9375,-143.4775,270.0,bottom
R39,97.525,-82.175,270.0,bottom
R4,103.05,-172.8,0.0,top
R40,106.775,-89.425,270.0,bottom
R41,108.9375,-143.9775,0.0,bottom
R43,111.9375,-143.9775,180.0,bottom
R44,97.525,-89.925,180.0,bottom
R45,97.525,-88.675,180.0,bottom
R46,112.5625,-141.4775,90.0,bottom
R47,100.1175,-142.9775,180.0,bottom
R48,106.9375,-139.9775,90.0,bottom
R49,100.9375,-147.4775,270.0,bottom
R5,94.0,-151.5,270.0,bottom
R50,95.08,-84.854999,0.0,bottom
R51,109.25,-72.25,180.0,top
R52,89.56,-172.1,90.0,bottom
R53,111.965,-171.045,270.0,bottom
R54,87.5,-171.68,90.0,top
R6,115.9375,-149.7075,180.0,top
R8,113.465,-156.045,270.0,bottom
R9,107.965,-156.045,270.0,bottom
RPROG10,106.9375,-135.4775,270.0,bottom
RPROG11,93.75,-173.2,270.0,top
RPROG12,93.85,-169.5,270.0,top
RPROG13,92.55,-167.3,180.0,top
RPROG14,89.75,-172.0,180.0,top
RPROG15,92.05,-172.9,270.0,top
RPROG8,104.525,-79.925,0.0,bottom
RPROG9,118.9375,-139.4775,90.0,bottom
RSENSE3,81.86,-164.45,0.0,bottom
R_SENSE5,91.74,-168.45,0.0,bottom
R_SENSE6,92.42,-165.95,90.0,bottom
R_SENSE7,91.93,-158.545,90.0,bottom
SW3,86.43,-157.73,270.0,bottom
TP10,93.6875,-139.9775,180.0,top
