Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",C_0603,2,4.7uF,C19666
C2,C_0603,1,100nF,C14663
"C3, C4, C5, C7",C_0603,4,22uF,C59461
C8,C_0603,1,10uF,C19702
D1,D_0805,1,Red,C84256
D2,D_0805,1,Yellow,C2296
D3,D_0805,1,Green,C2297
"D4, D5",D_SMA,2,SS34,C8678
H1,HDR-TH_2P-P2.54-V-M-1,1,12V_Sensor,C124375
H2,HDR-TH_2P-P2.54-V-M-1,1,RaspberryPI,C124375
J1,TYPE-C-SMD_TYPE-C-6P,1,USB_C_Receptacle_PowerOnly_6P,C283540
J2,USB-A-TH_AF-WJDG,1,USB_A,
"L1, L2",IND-SMD_L7.5-W7.5,2,22uH,C19268629
"R1, R2",R_0603,2,5.1kΩ,C23186
R10,R_0603,1,22kΩ,C31850
"R11, R6, R7",R_0603,3,470Ω,C23179
R3,R_0603,1,3kΩ,C4211
"R5, RPROG3",R_0603,2,10kΩ,C25804
R8,R_0603,1,91kΩ,C23265
R9,R_0603,1,4.7kΩ,C23162
RPROG1,R_0603,1,1kΩ,C21190
"U2, U3",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,2,MT3608,
U4,QFN-20_L4.0-W4.0-P0.5-BL-EP,1,MCP73871,C511310
U5,CONN-TH_S2B-PH-K-S-GW,1,Battery Input,C157932
