Designator,Mid X,Mid Y,Rotation,Layer
C1,53.594,-59.436,0.0,top
C2,51.054,-61.976,180.0,top
C3,57.15,-83.566,180.0,top
C4,73.914,-92.964,0.0,top
C5,48.006,-86.36,270.0,top
C6,54.356,-64.516,0.0,top
C7,60.96,-88.138,270.0,top
C8,58.1765,-78.232,180.0,top
D1,70.866,-58.42,90.0,top
D2,77.47,-58.42,90.0,top
D3,74.168,-58.42,90.0,top
D4,68.326,-74.168,0.0,top
D5,68.58,-78.486,0.0,top
H1,88.138,-60.198,90.0,top
H2,88.138,-67.056,270.0,top
J1,51.818,-75.184,270.0,top
J2,79.386,-89.408,90.0,top
L1,63.144,-93.98,0.0,top
L2,52.324,-93.98,0.0,top
R1,58.1765,-74.676,0.0,top
R10,70.358,-86.36,90.0,top
R11,65.532,-64.516,180.0,top
R2,58.1765,-76.454,0.0,top
R3,68.326,-86.36,270.0,top
R5,59.944,-67.31,270.0,top
R6,65.532,-62.484,180.0,top
R7,65.532,-60.452,180.0,top
R8,58.166,-86.106,270.0,top
R9,56.134,-86.106,90.0,top
RPROG1,57.658,-59.182,0.0,top
RPROG3,60.96,-59.182,0.0,top
U2,64.262,-86.294,270.0,top
U3,52.204,-86.36,270.0,top
U4,58.928,-62.484,90.0,top
U5,84.498218,-76.37041,270.0,top
